mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__min_child_samples,param_model__n_estimators,param_model__num_leaves,param_model__reg_alpha,param_model__reg_lambda,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10.542461156845093,0.8977316223988401,1.4391094048817952,0.17152981605517398,0.6809723757181718,0.03165854330562734,81,545,35,0.194338644844741,0.7783725794347397,0.9400581282031752,"{'model__colsample_bytree': np.float64(0.6809723757181718), 'model__learning_rate': np.float64(0.03165854330562734), 'model__min_child_samples': 81, 'model__n_estimators': 545, 'model__num_leaves': 35, 'model__reg_alpha': np.float64(0.194338644844741), 'model__reg_lambda': np.float64(0.7783725794347397), 'model__subsample': np.float64(0.9400581282031752)}",0.4538775672162,0.46150992201475693,0.4636009789522909,0.4596628227277493,0.00417891658841825,1
5.354794025421143,0.3772763354213818,0.8465421994527181,0.2319116721440553,0.7667980138986576,0.027143679523364966,22,558,16,0.36099938613341237,2.4463817725393757,0.6502725680443551,"{'model__colsample_bytree': np.float64(0.7667980138986576), 'model__learning_rate': np.float64(0.027143679523364966), 'model__min_child_samples': 22, 'model__n_estimators': 558, 'model__num_leaves': 16, 'model__reg_alpha': np.float64(0.36099938613341237), 'model__reg_lambda': np.float64(2.4463817725393757), 'model__subsample': np.float64(0.6502725680443551)}",0.45640966354901713,0.45381507494446927,0.46549331223616974,0.458572683576552,0.005006948391316064,2
7.115435600280762,0.38136893563933577,0.5602637926737467,0.026031628216762723,0.7882085313614494,0.03994649485103324,82,388,31,0.355670976374325,2.075438851328014,0.862085991173354,"{'model__colsample_bytree': np.float64(0.7882085313614494), 'model__learning_rate': np.float64(0.03994649485103324), 'model__min_child_samples': 82, 'model__n_estimators': 388, 'model__num_leaves': 31, 'model__reg_alpha': np.float64(0.355670976374325), 'model__reg_lambda': np.float64(2.075438851328014), 'model__subsample': np.float64(0.862085991173354)}",0.4553600942755093,0.4571104133620271,0.4623617338447391,0.4582774138274252,0.002975136605158456,3
7.533486445744832,0.20777943695989182,0.8584703604380289,0.07268926760878745,0.7748636643427562,0.038879433323427366,60,406,29,0.08263346953150125,0.13909101685298483,0.7981905182472294,"{'model__colsample_bytree': np.float64(0.7748636643427562), 'model__learning_rate': np.float64(0.038879433323427366), 'model__min_child_samples': 60, 'model__n_estimators': 406, 'model__num_leaves': 29, 'model__reg_alpha': np.float64(0.08263346953150125), 'model__reg_lambda': np.float64(0.13909101685298483), 'model__subsample': np.float64(0.7981905182472294)}",0.4542031241503749,0.4572669359111972,0.45782191642129844,0.4564306588276235,0.0015913168331933764,4
4.831559975941976,0.14328427754229997,0.6618568897247314,0.02269607760441269,0.813367012636793,0.08809493457258726,26,270,23,0.03252579649263976,2.4722138431333334,0.9879712115760958,"{'model__colsample_bytree': np.float64(0.813367012636793), 'model__learning_rate': np.float64(0.08809493457258726), 'model__min_child_samples': 26, 'model__n_estimators': 270, 'model__num_leaves': 23, 'model__reg_alpha': np.float64(0.03252579649263976), 'model__reg_lambda': np.float64(2.4722138431333334), 'model__subsample': np.float64(0.9879712115760958)}",0.45099116082857327,0.4556187414770409,0.4583485041856048,0.454986135497073,0.0030367491459050277,5
4.973254760106404,0.13574513850843803,0.35949110984802246,0.015042990458814395,0.9742053074796722,0.07034154716766527,47,384,23,0.31164906341377896,0.9272450621316229,0.6722454226001083,"{'model__colsample_bytree': np.float64(0.9742053074796722), 'model__learning_rate': np.float64(0.07034154716766527), 'model__min_child_samples': 47, 'model__n_estimators': 384, 'model__num_leaves': 23, 'model__reg_alpha': np.float64(0.31164906341377896), 'model__reg_lambda': np.float64(0.9272450621316229), 'model__subsample': np.float64(0.6722454226001083)}",0.4442968651572297,0.4516797053036877,0.46051330474428015,0.4521632917350658,0.006629158825350012,6
12.569296518961588,0.0833917821036745,1.8867671489715576,0.04590562016502179,0.9329390718407614,0.04089217037973651,72,589,42,0.22007624686980065,0.40509558711194704,0.8233119185389446,"{'model__colsample_bytree': np.float64(0.9329390718407614), 'model__learning_rate': np.float64(0.04089217037973651), 'model__min_child_samples': 72, 'model__n_estimators': 589, 'model__num_leaves': 42, 'model__reg_alpha': np.float64(0.22007624686980065), 'model__reg_lambda': np.float64(0.40509558711194704), 'model__subsample': np.float64(0.8233119185389446)}",0.4494910175853613,0.45039227267964266,0.4534602387523212,0.45111450967244177,0.001698999484674483,7
5.011194388071696,0.02518016698383839,0.5957712332407633,0.01934421504615197,0.9972740457519261,0.06748592831835591,77,271,58,0.011531212520707879,1.411936650645973,0.7899513401003394,"{'model__colsample_bytree': np.float64(0.9972740457519261), 'model__learning_rate': np.float64(0.06748592831835591), 'model__min_child_samples': 77, 'model__n_estimators': 271, 'model__num_leaves': 58, 'model__reg_alpha': np.float64(0.011531212520707879), 'model__reg_lambda': np.float64(1.411936650645973), 'model__subsample': np.float64(0.7899513401003394)}",0.449263189718338,0.4514991878237324,0.45202398708362396,0.4509287882085648,0.0011970846012375152,8
6.591978073120117,0.05933084902926432,0.8716598351796468,0.055123144215895155,0.6609596523594455,0.08659420584057488,63,411,24,0.4474136752138244,1.5947499470277129,0.9726559822580909,"{'model__colsample_bytree': np.float64(0.6609596523594455), 'model__learning_rate': np.float64(0.08659420584057488), 'model__min_child_samples': 63, 'model__n_estimators': 411, 'model__num_leaves': 24, 'model__reg_alpha': np.float64(0.4474136752138244), 'model__reg_lambda': np.float64(1.5947499470277129), 'model__subsample': np.float64(0.9726559822580909)}",0.447661424962717,0.4511919287913388,0.45365113317426886,0.45083482897610816,0.0024582909135428834,9
4.526313861211141,0.28453993208936124,0.5333765347798666,0.04629063304216184,0.7810890415965769,0.09581071604484288,91,270,53,0.22291637642679557,0.34993728954500725,0.8107371121880536,"{'model__colsample_bytree': np.float64(0.7810890415965769), 'model__learning_rate': np.float64(0.09581071604484288), 'model__min_child_samples': 91, 'model__n_estimators': 270, 'model__num_leaves': 53, 'model__reg_alpha': np.float64(0.22291637642679557), 'model__reg_lambda': np.float64(0.34993728954500725), 'model__subsample': np.float64(0.8107371121880536)}",0.439803053751252,0.4514280833360725,0.4493915617437977,0.4468742329437074,0.0050687300465902954,10
